DATE,IPG2211A2N
1/1/1985,72.6803
2/1/1985,70.8479
3/1/1985,62.6166
4/1/1985,57.6106
5/1/1985,55.4467
6/1/1985,58.2228
7/1/1985,62.7591
8/1/1985,63.3921
9/1/1985,60.7507
10/1/1985,56.4553
11/1/1985,58.1385
12/1/1985,68.8758
1/1/1986,73.4956
2/1/1986,68.1637
3/1/1986,62.3923
4/1/1986,57.1915
5/1/1986,55.9599
6/1/1986,60.0336
7/1/1986,65.9077
8/1/1986,64.645
9/1/1986,61.1742
10/1/1986,57.6978
11/1/1986,59.4964
12/1/1986,68.3302
1/1/1987,74.0173
2/1/1987,70.254
3/1/1987,65.7966
4/1/1987,60.3229
5/1/1987,59.0245
6/1/1987,64.0345
7/1/1987,69.0282
8/1/1987,70.2369
9/1/1987,64.2987
10/1/1987,60.5402
11/1/1987,62.6219
12/1/1987,70.7671
1/1/1988,80.0833
2/1/1988,76.3631
3/1/1988,70.4954
4/1/1988,63.4244
5/1/1988,61.5776
6/1/1988,67.2741
7/1/1988,73.1676
8/1/1988,75.9479
9/1/1988,67.7223
10/1/1988,63.4592
11/1/1988,65.2706
12/1/1988,74.0492
1/1/1989,78.1368
2/1/1989,76.8499
3/1/1989,73.5377
4/1/1989,65.2676
5/1/1989,63.8617
6/1/1989,68.6587
7/1/1989,74.2491
8/1/1989,75.2704
9/1/1989,69.5107
10/1/1989,66.062
11/1/1989,69.2555
12/1/1989,84.404
1/1/1990,84.6447
2/1/1990,77.4221
3/1/1990,73.4205
4/1/1990,67.4636
5/1/1990,66.0145
6/1/1990,71.6535
7/1/1990,76.8376
8/1/1990,77.3265
9/1/1990,73.277
10/1/1990,67.6237
11/1/1990,68.7675
12/1/1990,77.9179
1/1/1991,86.2914
2/1/1991,77.8027
3/1/1991,73.6061
4/1/1991,67.3549
5/1/1991,69.0228
6/1/1991,75.0839
7/1/1991,80.3488
8/1/1991,79.4052
9/1/1991,73.8126
10/1/1991,68.9572
11/1/1991,72.7156
12/1/1991,79.7391
1/1/1992,85.556
2/1/1992,80.4178
3/1/1992,74.739
4/1/1992,69.8367
5/1/1992,67.3781
6/1/1992,71.4197
7/1/1992,77.7263
8/1/1992,76.7791
9/1/1992,72.5681
10/1/1992,69.2363
11/1/1992,73.7175
12/1/1992,84.7818
1/1/1993,88.2287
2/1/1993,84.7919
3/1/1993,79.6885
4/1/1993,71.2731
5/1/1993,67.9111
6/1/1993,74.5503
7/1/1993,82.3366
8/1/1993,82.2906
9/1/1993,74.8323
10/1/1993,69.8758
11/1/1993,74.6278
12/1/1993,84.4669
